Age_Group,Job_Type,Education,Marital_Status,City,Device,Subscription,Purchase
Young,Student,HighSchool,Single,NewYork,Mobile,Free,No
Young,Student,Bachelor,Single,London,Laptop,Basic,Yes
Adult,Engineer,Bachelor,Married,Tokyo,Desktop,Premium,Yes
Middle,Doctor,Master,Married,Paris,Tablet,Premium,Yes
Senior,Retired,HighSchool,Married,Berlin,Desktop,Free,No
Adult,Artist,Bachelor,Single,Sydney,Mobile,Basic,Yes
Middle,Manager,Master,Married,NewYork,Laptop,VIP,Yes
Young,Engineer,Bachelor,Single,Tokyo,Mobile,Basic,No
Adult,Doctor,PhD,Married,London,Tablet,VIP,Yes
Senior,Retired,Master,Widowed,Paris,Desktop,Free,No
Middle,Engineer,Master,Married,Berlin,Laptop,Premium,Yes
Young,Artist,HighSchool,Single,Sydney,Mobile,Free,No
Adult,Manager,Bachelor,Divorced,NewYork,Tablet,Premium,Yes
Senior,Doctor,PhD,Married,Tokyo,Desktop,VIP,Yes
Middle,Artist,Master,Married,London,Laptop,Basic,No
Adult,Engineer,PhD,Single,Berlin,Desktop,Premium,Yes
Young,Student,Bachelor,Single,Paris,Tablet,Free,No
Senior,Manager,Master,Married,Sydney,Laptop,VIP,Yes
Adult,Artist,Bachelor,Divorced,Tokyo,Mobile,Basic,No
Middle,Doctor,PhD,Married,NewYork,Desktop,Premium,Yes
